title,year,genre1,genre2,genre3,country,language,director,reviews_from_users,reviews_from_critics
Når nettene blir lange,2000,3,,,8,7,Mona J. Hoel,4.0,
Pettson och Findus - Kattonauten,2000,18,13,,8,7,"Torbjörn Jansson, Albert Hanan Kaminski",,9.0
Pressure Point,2001,14,16,,8,1,Eric Weston,7.0,2.0
Ripper,2001,10,16,,8,1,John Eyres,47.0,16.0
Rizoto,2000,12,3,7,8,7,Olga Malea,3.0,
The Road to Nashville,1967,20,,,4,1,Will Zens,9.0,2.0
The Shipment,2001,12,2,,8,1,Alex Wright,8.0,3.0
Thirteen Conversations About One Thing,2001,3,,,4,1,Jill Sprecher,115.0,80.0
The Time Machine,2002,14,5,15,4,1,Simon Wells,644.0,128.0
Ha-Hesder,2000,3,,,8,7,Joseph Cedar,20.0,15.0
Tuno negro,2001,3,10,9,8,7,"Pedro L. Barbero, Vicente J. Martín",19.0,8.0
Watchtower,2001,3,7,16,8,1,George Mihalka,20.0,5.0
Wrong Number,2002,16,,,8,1,Richard Middleton,5.0,1.0
"Y decirte alguna estupidez, por ejemplo, te quiero",2000,12,7,,8,7,Antonio del Real,2.0,
A ruota libera,2000,12,,,5,2,Vincenzo Salemme,1.0,1.0
Aalkkoottathil Thaniye,1984,3,7,,8,7,I.V. Sasi,1.0,
Afti i nyhta menei,1999,3,20,7,8,7,Nikos Panayotopoulos,6.0,2.0
Amatørene,2001,12,2,3,8,7,Pål Sletaune,2.0,4.0
"Amor, curiosidad, prozak y dudas",2001,12,,,8,7,Miguel Santesmases,,2.0
Athirathram,1984,14,2,3,8,7,I.V. Sasi,,
A Beautiful Mind,2001,1,3,,4,1,Ron Howard,1243.0,207.0
The Majestic,2001,3,7,,4,1,Frank Darabont,386.0,130.0
Bimil,2000,3,7,,8,7,Ki-hyeong Park,5.0,3.0
Body Guards - Guardie del corpo,2000,12,,,5,7,Neri Parenti,4.0,
Ceci est mon corps,2001,3,,,7,5,Rodolphe Marconi,2.0,
